id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,9,regression,-1878.68,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:35:11,2688.7,2641.9,16.1,12.0,1110689543,,1166.6,5.0,0.580209,1878.68,,,,
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,0,multiclass,-1.0892,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:03:46,2859.1,2812.8,14.5,14.0,1110689534,,,4.0,,,0.833333,,0.833333,1.0892
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,1,multiclass,-0.93054,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:03:50,2864.2,2817.5,14.4,14.0,1110689535,,,4.0,,,0.893333,,0.893333,0.93054
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,2,multiclass,-0.961823,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:02:26,2780.8,2733.9,14.4,14.0,1110689536,,,4.0,,,0.893333,,0.893333,0.961823
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,3,multiclass,-1.09022,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:03:56,2862.2,2821.0,8.7,14.0,1110689537,,,4.0,,,0.806667,,0.806667,1.09022
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,4,multiclass,-0.991197,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:03:43,2845.3,2798.7,14.5,14.0,1110689538,,,3.0,,,0.893333,,0.893333,0.991197
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,5,multiclass,-1.02722,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:03:35,2827.3,2779.7,15.1,14.0,1110689539,,,4.0,,,0.866667,,0.866667,1.02722
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,6,multiclass,-1.00205,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:03:05,2792.3,2745.3,14.5,14.0,1110689540,,,3.0,,,0.893333,,0.893333,1.00205
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,7,multiclass,-1.21373,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:04:06,2855.1,2815.0,8.2,14.0,1110689541,,,2.0,,,0.813333,,0.813333,1.21373
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,8,multiclass,-1.05085,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:04:39,2881.7,2834.1,15.2,14.0,1110689542,,,4.0,,,0.86,,0.86,1.05085
openml.org/t/10090,amazon-commerce-reviews,PseudoLabel,12h8c,9,multiclass,-1.08079,neg_logloss,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:04:06,2838.5,2798.2,8.2,14.0,1110689543,,,2.0,,,0.82,,0.82,1.08079
openml.org/t/359979,Amazon_employee_access,PseudoLabel,12h8c,0,binary,0.89445,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T22:52:10,119.7,116.2,0.8,12.0,1110689534,,,7.0,,,0.948734,0.89445,0.625096,0.145723
